BALANCE NACIONAL DE ENERGÍA ELCTRICA A FEBRERO 2022;;;
;;;
1. Potencia Nominal en Generación;;MW;%
 Renovable ; Hidráulica ;5.106,85;58,45%
; Eólica ;21,15;0,24%
; Fotovoltaica ;28,65;0,33%
; Biomasa ;144,30;1,65%
; Biogas ;8,32;0,10%
 Total Energía Renovable ;;5.309,27;60,77%
 No Renovable ; Térmica MCI ;2.021,86;23,14%
; Térmica Turbogas ;943,85;10,80%
; Térmica Turbovapor ;461,63;5,28%
 Total Energía No Renovable ;;3.427,33;39,23%
Total Potencia Nominal ;;8.736,60;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;540;83,08%
; Perú;110;16,92%
 Total Interconexiones ;;650;100,00%
;;;
2. Potencia Efectiva en Generación;;MW;%
 Renovable ; Hidráulica ;5.072,26;62,60%
; Eólica ;21,15;0,26%
; Fotovoltaica ;27,76;0,34%
; Biomasa ;136,40;1,68%
; Biogas ;7,20;0,09%
 Total Energía Renovable ;;5.264,78;64,97%
 No Renovable ; Térmica MCI ;1.616,04;19,94%
; Térmica Turbogas ;790,55;9,76%
; Térmica Turbovapor ;431,50;5,33%
 Total Energía No Renovable ;;2.838,09;35,03%
Total Potencia Efectiva ;;8.102,87;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;525;82,68%
; Perú;110;17,32%
 Total Interconexiones ;;635;100,00%
;;;
3. Producción Total de Energía e Importaciones;;GWh;%
 Renovable ; Hidráulica ;25.271,90;77,21%
; Eólica ;59,04;0,18%
; Fotovoltaica ;36,91;0,11%
; Biomasa ;378,89;1,16%
; Biogas ;40,52;0,12%
 Total Energía Renovable ;;25.787,26;78,79%
 No Renovable ; Térmica MCI ;4.609,28;14,08%
; Térmica Turbogas ;904,71;2,76%
; Térmica Turbovapor ;1.046,75;3,20%
 Total Energía No Renovable ;;6.560,74;20,04%
 Total Producción Nacional ;;32.348,00;98,83%
 Interconexión ; Colombia ;383,09;1,17%
; Perú;0,00;0,00%
; Importación ;383,09;1,17%
Total Producción Nacional + Importación ;;32.731,09;100,00%
;;;
3.1 Producción Total de Energía e Importaciones S.N.I. ;; GWh ;%
 Renovable ; Hidráulica ;25.254,51;87,94%
; Eólica ;57,33;0,20%
; Fotovoltaica ;33,32;0,12%
; Biomasa ;378,89;1,32%
; Biogas ;40,52;0,14%
 Total Energía Renovable S.N.I. ;;25.764,57;89,72%
 No Renovable ; Térmica MCI ;963,24;3,35%
; Térmica Turbogas ;582,87;2,03%
; Térmica Turbovapor ;1.022,84;3,56%
 Total Energía No Renovable S.N.I. ;;2.568,96;8,95%
 Total Producción Nacional S.N.I. ;;28.333,53;98,67%
 Interconexión ; Colombia ;383,09;1,33%
; Perú;0,00;0,00%
; Importación ;383,09;1,33%
Total Producción Nacional + Importación S.N.I. ;;28.716,61;100,00%
;;;
4. Energía Entregada para Servicio Público ;; GWh ;%
 Renovable ; Hidráulica ;23.750,71;89,00%
; Eólica ;57,98;0,22%
; Fotovoltaica ;36,01;0,13%
; Biomasa ;147,42;0,55%
; Biogas ;40,36;0,15%
 Total Energía Renovable ;;24.032,48;90,06%
 No Renovable ; Térmica MCI ;761,51;2,85%
; Térmica Turbogas ;563,94;2,11%
; Térmica Turbovapor ;944,46;3,54%
 Total Energía No Renovable ;;2.269,91;8,51%
 Total Producción Nacional ;;26.302,39;98,56%
 Interconexión ; Colombia ;383,09;1,44%
; Perú;0,00;0,00%
; Importación ;383,09;1,44%
Total Energía Entregada para Servicio Público ;;26.685,48;100,00%
;;;
Energía Entregada para Servicio Eléctrico ;; GWh ;%
 Servicio Público ;;26.685,48;94,17%
 Demanda No Regulada ;;1.651,50;5,83%
Total Energía Entregada para Servicio Eléctrico ;;28.336,97;100,00%
;;;
5. Energía Disponible para Servicio Eléctrico ;; GWh ;%
 Pérdidas en Transmisión;;1.177,65;4,16%
 Total Energía Disponible para Servicio Eléctrico ;;27.159,32;95,84%
 Interconexión ; Colombia ;480,87;91,56%
; Perú;44,33;8,44%
; Exportación ;525,21;100,00%
 Total Energía Disponible en los Sistemas de Distribución ;;26.634,11;100,00%
 Consumo Total de Energía Eléctrica;;23.164,27;86,97%
 Pérdidas en Distribución ; Técnicas ;1.724,25;6,47%
; No Técnicas ;1.745,60;6,55%
; Pérdidas Totales ;3.469,85;13,03%
;;;
 6. Energía Facturada por Servicio Eléctrico ;; GWh ;%
 Demanda Regulada; Residencial ;7.921,42;34,39%
; Industrial ;5.747,63;24,95%
; Comercial ;3.775,41;16,39%
; Otros ;2.455,81;10,66%
; SAPG ;1.465,53;6,36%
; Total Demanda Regulada ;21.365,81;92,75%
 Demanda No Regulada y Otras Ventas ;;1.670,81;7,25%
 Total Energía Facturada por Servicio Eléctrico ;;23.036,62;100,00%
;;;
 Valores Facturados y Recaudados ;; MUSD ;%
 Facturación por Servicio Eléctrico (MUSD) ;;1.984,39;
 Recaudación por Servicio Eléctrico (MUSD) ;;1.967,09;99,13%
