BALANCE NACIONAL DE ENERGÍA ELCTRICA A DICIEMBRE 2021;;;
;;;
1. Potencia Nominal en Generación;;MW;%
 Energía Renovable ; Hidráulica ;5.106,85;58,47%
; Eólica ;21,15;0,24%
; Fotovoltaica ;27,65;0,32%
; Biomasa ;144,30;1,65%
; Biogas ;8,32;0,10%
 Total Energía Renovable ;;5.308,27;60,77%
 No Renovable ; Térmica MCI ;2.020,67;23,13%
; Térmica Turbogas ;943,85;10,81%
; Térmica Turbovapor ;461,63;5,29%
 Total Energía No Renovable ;;3.426,14;39,23%
Total Potencia Nominal ;;8.734,41;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;540;83,08%
; Perú;110;16,92%
 Total Interconexiones ;;650;100,00%
;;;
2. Potencia Efectiva en Generación;;MW;%
 Energía Renovable ; Hidráulica ;5.072,26;62,62%
; Eólica ;21,15;0,26%
; Fotovoltaica ;26,76;0,33%
; Biomasa ;136,40;1,68%
; Biogas ;7,20;0,09%
 Total Energía Renovable ;;5.263,78;64,98%
 No Renovable ; Térmica MCI ;1.614,85;19,93%
; Térmica Turbogas ;790,55;9,76%
; Térmica Turbovapor ;431,50;5,33%
 Total Energía No Renovable ;;2.836,90;35,02%
Total Potencia Efectiva ;;8.100,68;100,00%
;;;
Interconexiones;;MW ;%
 Interconexiones ; Colombia ;525;82,68%
; Perú;110;17,32%
 Total Interconexiones ;;635;100,00%
;;;
3. Producción Total de Energía e Importaciones;;GWh;%
 Energía Renovable ; Hidráulica ;25.562,65;78,51%
; Eólica ;62,01;0,19%
; Fotovoltaica ;36,87;0,11%
; Biomasa ;372,80;1,15%
; Biogas ;42,13;0,13%
 Total Energía Renovable ;;26.076,46;80,09%
 No Renovable ; Térmica MCI ;4.335,56;13,32%
; Térmica Turbogas ;911,82;2,80%
; Térmica Turbovapor ;871,07;2,68%
 Total Energía No Renovable ;;6.118,46;18,79%
 Total Producción Nacional ;;32.194,92;98,88%
 Interconexión ; Colombia ;363,80;1,12%
; Perú;0,00;0,00%
; Importación ;363,80;1,12%
Total Producción Nacional + Importación ;;32.558,72;100,00%
;;;
3.1 Producción Total de Energía e Importaciones S.N.I. ;; GWh ;%
 Energía Renovable ; Hidráulica ;25.543,57;89,55%
; Eólica ;60,06;0,21%
; Fotovoltaica ;33,44;0,12%
; Biomasa ;372,80;1,31%
; Biogas ;42,13;0,15%
 Total Energía Renovable S.N.I. ;;26.052,00;91,33%
 No Renovable ; Térmica MCI ;671,95;2,36%
; Térmica Turbogas ;594,53;2,08%
; Térmica Turbovapor ;843,06;2,96%
 Total Energía No Renovable S.N.I. ;;2.109,54;7,40%
 Total Producción Nacional S.N.I. ;;28.161,54;98,72%
 Interconexión ; Colombia ;363,80;1,28%
; Perú;0,00;0,00%
; Importación ;363,80;1,28%
Total Producción Nacional + Importación S.N.I. ;;28.525,34;100,00%
;;;
4. Energía Entregada para Servicio Público ;; GWh ;%
 Energía Renovable ; Hidráulica ;24.046,13;90,65%
; Eólica ;60,83;0,23%
; Fotovoltaica ;36,02;0,14%
; Biomasa ;146,84;0,55%
; Biogas ;41,94;0,16%
 Total Energía Renovable ;;24.331,75;91,73%
 No Renovable ; Térmica MCI ;480,23;1,81%
; Térmica Turbogas ;575,94;2,17%
; Térmica Turbovapor ;773,56;2,92%
 Total Energía No Renovable ;;1.829,73;6,90%
 Total Producción Nacional ;;26.161,48;98,63%
 Interconexión ; Colombia ;363,80;1,37%
; Perú;0,00;0,00%
; Importación ;363,80;1,37%
Total Energía Entregada para Servicio Público ;;26.525,28;100,00%
;;;
 Energía Entregada para Servicio Eléctrico ;; GWh ;%
 Servicio Público ;;26.525,28;94,18%
 Demanda No Regulada ;;1.640,00;5,82%
 Total Energía Entregada para Servicio Eléctrico ;;28.165,28;100,00%
;;;
5. Energía Disponible para Servicio Eléctrico ;; GWh ;%
 Pérdidas en Transmisión;;1.190,07;4,23%
 Total Energía Disponible para Servicio Eléctrico ;;26.975,21;95,77%
 Interconexión ; Colombia ;479,81;91,54%
; Perú;44,32;8,46%
; Exportación ;524,13;100,00%
 Total Energía Disponible en los Sistemas de Distribución ;;26.451,07;100,00%
 Consumo Total de Energía Eléctrica;;22.996,46;86,94%
 Pérdidas en Distribución ; Técnicas ;1.726,47;6,53%
; No Técnicas ;1.728,14;6,53%
; Pérdidas Totales ;3.454,62;13,06%
;;;
6. Energía Facturada por Servicio Eléctrico ;; GWh ;%
 Demanda Regulada; Residencial ;7.959,12;34,77%
; Industrial ;5.660,47;24,73%
; Comercial ;3.740,77;16,34%
; Otros ;2.431,44;10,62%
; SAPG ;1.456,60;6,36%
; Total Demanda Regulada ;21.248,40;92,83%
 Demanda No Regulada y Otras Ventas ;;1.641,28;7,17%
 Total Energía Facturada por Servicio Eléctrico ;;22.889,69;100,00%
;;;
Valores Facturados y Recaudados ;; MUSD ;%
 Facturación por Servicio Eléctrico (MUSD) ;;1.973,48;
 Recaudación por Servicio Eléctrico (MUSD) ;;1.963,89;99,51%
